,provision,without,with,diff,p_value,n_without
31,nosyg,6.049191576490734,3.3705117420036883,2.6786798344870455,0.00013336758782987629,24
24,immunity,5.396865344880825,3.218667455694483,2.1781978891863423,0.00436405317545702,33
44,universalpermit,5.173400095976027,3.018724956732038,2.1546751392439893,0.011765280292124349,38
45,universalpermith,5.323426951919431,3.4702355925806523,1.8531913593387785,0.015118735074510023,32
46,violentpartial,5.262559985250481,3.367928976834821,1.8946310084156597,0.015827785484363893,34
29,mcdvdating,5.209802959617344,3.4800376563052384,1.7297653033121052,0.028429515350774506,34
41,statechecksh,5.201628283502394,3.4974088430495067,1.7042194404528876,0.03098300454013909,34
2,age21handgunsale,5.118357114131143,3.3411299926939373,1.777227121437206,0.03456861437618655,37
34,permith,5.109467395937677,3.3664314983214982,1.7430358976161786,0.038377301081166035,37
6,cap16,5.103843563369314,3.382437791016064,1.72140577235325,0.040960409803621305,37
38,recordsdealerh,5.245176350443948,3.6954440139005853,1.549732336543363,0.04176318871440618,31
7,capuses,5.158553337282863,3.5889431037660064,1.569610233516857,0.0477805547633909,34
5,cap14,5.158553337282863,3.5889431037660064,1.569610233516857,0.0477805547633909,34
35,permitlaw,5.0597213637373875,3.3787076088210646,1.6810137549163229,0.052477158015125744,38
4,backgroundpurge,5.114561063493736,3.5869510603728485,1.5276100031208872,0.058895160648118436,35
18,dvrosurrender,5.101720774778229,3.6169117340423638,1.4848090407358656,0.06663961034965327,35
42,traffickingprohibited,5.049283984153802,3.537722747244835,1.511561236908967,0.0741717255337829,37
39,reportdealerh,5.0268913801827635,3.482669223410708,1.5442221567720553,0.0757701516972414,38
30,mcdvsurrender,4.996433888660782,3.4502710427366368,1.5461628459241452,0.08490634182343,39
43,traffickingprohibitedh,5.071555685044371,3.6872969434213663,1.3842587416230043,0.08803587493603166,35
40,stalking,5.089894502389949,3.73484312791345,1.3550513744764991,0.08920288698344982,34
0,age18longgunpossess,5.0001023871292825,3.5675010347467313,1.4326013523825512,0.10027247331334659,38
19,dvrosurrenderdating,4.97745877697826,3.517546438701943,1.4599123382763168,0.1043794351415127,39
37,recordsdealer,4.97398196444415,3.5298733195046945,1.4441086449394551,0.10829289651292731,39
11,ccrevoke,3.6507838025532524,5.009559829585979,-1.3587760270327265,0.10963966936600261,13
36,recordsallh,5.007183605477039,3.6575469019402362,1.3496367035368024,0.11211421211044444,37
15,dealerh,5.019153052843219,3.72317094467983,1.2959821081633889,0.11853919928933893,36
27,invoutpatient,5.044403759004734,3.8315109576070343,1.2128928013976994,0.12935735776531668,34
23,gunshowh,4.934603126088547,3.669489200947289,1.2651139251412578,0.16080614552454583,39
14,danger,5.224047809981496,4.210173261010022,1.013874548971474,0.17842467611459556,22
26,invcommitment,5.224047809981496,4.210173261010022,1.013874548971474,0.17842467611459556,22
20,dvrosurrendernoconditions,4.954309240679787,3.808035478670872,1.1462737620089145,0.17884641487394873,37
28,mcdv,5.1029992222982505,4.2757378153708805,0.82726140692737,0.27180595598704976,23
12,college,4.368225017390522,5.16837236507649,-0.800147347685968,0.3064057819068944,32
32,opencarrypermith,4.953502636888209,4.171332704438894,0.7821699324493148,0.3120621771143442,31
9,ccbackgroundnics,4.341915399571574,5.090397930490376,-0.7484825309188015,0.32542603658241676,29
8,ccbackground,3.6256056191479553,4.770797222936306,-1.1451916037883505,0.36077389593573683,5
10,ccrenewbackground,4.0518239982401925,4.807391578636789,-0.7555675803965967,0.42189061382830617,10
16,dvro,4.967086283916814,4.369378165918077,0.5977081179987369,0.4274969793725695,24
17,dvrodating,4.85409989613337,4.235906666208684,0.6181932299246862,0.4436206439695132,34
3,ammrestrict,4.809063662413833,4.114583663066726,0.6944799993471076,0.444713418999667,39
13,collegeconcealed,4.570976628971357,4.926399268913493,-0.3554226399421365,0.6874197887862206,38
33,permitconcealed,4.871490470104983,4.609036314559235,0.2624541555457478,0.7893581450908701,9
25,incidentremoval,4.704611115909305,4.503223393609994,0.20138772229931146,0.8197624668332243,38
22,felony,4.778729399401993,4.613254619882368,0.16547477951962453,0.8475330842596198,13
1,age18longgunsale,4.697317206990607,4.589319458482353,0.10799774850825372,0.8895721391379906,31
21,elementary,4.606475052527123,4.68193415863371,-0.07545910610658702,0.9245740132323208,17
